,dims,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 2]",1,0.1,0.01,s,mse,275,0.3239847918351491
chl_a,"[4, 2]",1,0.1,0.01,s,mse,286,0.22292607525984445
chl_b,"[4, 2]",1,0.1,0.01,s,mse,418,0.33235753575960797
chc12,"[4, 2]",1,0.1,0.01,s,mse,281,0.22156829635302225
fucox,"[4, 2]",1,0.1,0.01,s,mse,296,0.2272342840830485
hxfcx,"[8, 4, 2]",1,0.1,0.01,m,mse,435,0.400508850812912
btfcx,"[8, 4, 2]",1,0.1,0.01,m,mse,346,0.5552156964937845
diadi,"[4, 2]",1,0.1,0.01,s,mse,297,0.2570672929286957
allox,"[4, 2]",1,0.1,0.01,s,mse,323,0.3777358829975128
diato,"[4, 2]",1,0.1,0.01,s,mse,350,0.35641540090243023
zeaxa,"[8, 4, 2]",1,0.1,0.01,m,mse,355,0.5896509289741516
betac,"[4, 2]",1,0.1,0.01,s,mse,290,0.24037202696005502
perid,"[4, 2]",1,0.1,0.01,s,mse,278,0.28866878151893616
