,dims,kernel_sizes,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,453,0.22485430538654327
chl_a,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,445,0.15475834409395853
chl_b,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,442,0.22158541282018027
chc12,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,435,0.14150892198085785
fucox,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,406,0.1717169980208079
hxfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,560,0.1985090176264445
btfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,516,0.3411698540051778
diadi,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,438,0.16366698344548544
allox,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,412,0.24003474414348602
diato,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,488,0.20305225253105164
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,397,0.3792465726534526
betac,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,415,0.15547866622606912
perid,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,428,0.18171282609303793
