,dims,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 2]",1,0.1,0.01,m,mse,251,0.26757044593493146
chl_a,[2],1,0.1,0.01,s,mse,1262,0.14444569746653238
chl_b,"[4, 4, 2]",1,0.1,0.01,l,mse,371,0.25523799657821655
chc12,"[4, 4, 2]",1,0.1,0.01,l,mse,364,0.15899689495563507
fucox,[2],1,0.1,0.01,s,mse,1125,0.16811235745747885
hxfcx,"[4, 2]",1,0.1,0.01,m,mse,253,0.304192582766215
btfcx,"[4, 2]",1,0.1,0.01,m,mse,331,0.570932924747467
diadi,"[4, 4, 2]",1,0.1,0.01,l,mse,364,0.1713301291068395
allox,"[4, 2]",1,0.1,0.01,m,mse,292,0.2824772795041402
diato,"[4, 4, 2]",1,0.1,0.01,l,mse,366,0.2669922759135564
zeaxa,"[4, 4, 2]",1,0.1,0.01,l,mse,291,0.5219064553578695
betac,"[4, 2]",1,0.1,0.01,m,mse,317,0.1695142686367035
perid,"[4, 4, 2]",1,0.1,0.01,l,mse,371,0.1792281965414683
