,chlide,chla,chlb,chlc12,fuco,hex,but,diad,allo,diato,zea,caro,peri
400,0.06104648090383437,0.1135328933139265,0.16050806546783342,0.10329324150474609,0.07761049081039216,0.1351527715035315,0.22268438013270497,0.09591176553762384,0.16972961612710996,0.17181614247549856,0.2548740524133401,0.1303699513664469,0.05049905758018473
412,0.115600537309157,0.10499358245371175,0.1108136964363179,0.10830091663644582,0.11059796396044216,0.09108423701088343,0.11702036218568017,0.09190207485309136,0.139309855144737,0.08662472533095363,0.12034144076252622,0.10615922552200832,0.08634766972474088
442,0.3045431175934417,0.3371385914007468,0.3317431557391371,0.34119352379015516,0.3312832756699728,0.27511461344173377,0.5520779716649226,0.27757679325129303,0.439651196689478,0.3600193515553006,0.28897754540334325,0.3363763401284814,0.1296466779022012
490,0.19724314965839898,0.20720393303781748,0.19885566308429198,0.21275233304394142,0.20925767476936535,0.1400028138741618,0.3699429578347398,0.15065744599061354,0.21216052773940777,0.21781693508715502,0.2806958509609103,0.21839208421962603,0.06695794418919832
510,0.08221669920021668,0.058140666583702635,0.07155732671630435,0.05903495039923915,0.06028758377734838,0.09820604973200327,0.16281787329353392,0.05344876490250629,0.13124740729108453,0.09033501524494827,0.14265594940765627,0.0541857828305053,0.07949542640043157
560,0.27520281941230806,0.2788827022138451,0.2812772131125842,0.3036534019213702,0.3153642677435918,0.2370154723258955,0.506634887549548,0.2287060882413893,0.33428013580851257,0.26942472911572884,0.14325304355172971,0.220624637565509,0.15873362743462036
620,0.2134348412842623,0.2660376727248409,0.20494576801346348,0.291762112806152,0.29808011052331757,0.2403344440806125,0.7117448590246828,0.19705039917607792,0.3680657299950586,0.27941180812194943,0.19940931173706694,0.21418361470568925,0.08052255133433002
665,0.07614293437550909,0.07948443732207774,0.11966852238713598,0.07422889411515955,0.09186515420982946,0.12567775170984014,0.23627034354389512,0.05121851978973219,0.13663518350637918,0.10810412579615201,0.1528670390835032,0.05870518766875778,0.06684733335194844
673,0.07820198756443071,0.13243875319936446,0.13954125936600445,0.10818584244199363,0.10542717432170841,0.13269416027989273,0.3290426735433617,0.12399499713709312,0.17453364697783919,0.12692874531161838,0.18946298454622074,0.1364365009690768,0.16019754856824875
681,0.2611447401411299,0.21749702980741858,0.3385323357901403,0.2054788546603439,0.19785401726923219,0.12042636427629207,0.3066808679806335,0.19865018814536078,0.17815216041968338,0.11871831054200552,0.19104870834520885,0.20591391747750873,0.2419727056154183
708,0.15047846754480684,0.1967969288650368,0.16815332393161952,0.20688564596431597,0.1963153788819909,0.1293539550305078,0.5322716446659926,0.11443871479215366,0.3536188499336796,0.14874553460893886,0.14227473858876952,0.14072004013827868,0.06281334508509774
