,chlid,chl_a,chl_b,chc12,fucox,hxfcx,btfcx,diadi,allox,diato,zeaxa,betac,perid
MSE,0.022948147238831176,0.0063131401133886675,0.01323435784098752,0.008443835926564572,0.014014375679392245,0.006979797807758763,0.00491723002972152,0.008317298989543817,0.0207848831337,0.011024556388773112,0.0063971851348390415,0.007718003625190931,0.016183400575688688
R2,0.9795415283074403,0.9903753096281763,0.9812057041099937,0.9903646539078118,0.9909241498194372,0.9853121024141622,0.9833420977018194,0.98860182179853,0.980746252162508,0.9839928968774396,0.9735257053157385,0.9875428536307336,0.9844860267531932
MAPE,0.16154805898279076,0.09082961415066071,0.1295557510461719,0.10947514792920113,0.1426237968141346,0.09345005247392149,0.08063285713621766,0.11049328526664366,0.16290476716475907,0.11794147237159701,0.09055307392275846,0.10107061624108116,0.15737684454550743
MAE,0.023591601869035857,0.07835151715612716,0.004681413346472058,0.015154546891912158,0.042140040315146635,0.01220518849962836,0.0015133518157823447,0.019307201696163515,0.004551653907025103,0.003450511880367281,0.0034866822794725177,0.004472549500698402,0.004668677442268748
MPE,0.038052063572547805,0.004305232304308414,0.004526214257663605,0.010083907197245244,0.02281078495545153,0.0034480481267901834,-0.0008253233628105441,0.010432556893288515,0.030027075144945247,0.007908267876690285,0.0011765150901369725,0.005218757151490479,0.020165842508509023
ME,-0.020651035091280922,-0.04323469032770512,-0.00250315950353434,-0.010674515718259631,-0.035403552641273456,-0.004730258089645654,-0.0003439811972723266,-0.014249711444214648,-0.0026905953439433057,-0.0022640084061925844,-0.001387089602083538,-0.0029852351758249455,-0.003309981184343031
