,chlid,chl_a,chl_b,chc12,fucox,hxfcx,btfcx,diadi,allox,diato,zeaxa,betac,perid
MSE,0.10168352384951375,0.02706182977024375,0.0779375470060149,0.03197770303923902,0.09095464764252514,0.02940458784328636,0.08581144381064348,0.026818828118707377,0.1351816895116888,0.058843494879590195,0.054703897339085254,0.029482409821101042,0.059689653810540026
R2,0.9093482592461811,0.9587429190932703,0.8893198040303999,0.9635099214745585,0.9410968583892543,0.9381226237935045,0.7093000249279633,0.9632469889039796,0.8747765794321851,0.9145621957552272,0.7736118201980136,0.9524142884227955,0.9427794122751317
MAPE,0.334307446964605,0.18544834447528746,0.321411401314955,0.210890448122134,0.36152676361672126,0.19487659311249578,0.3252824391392849,0.19351119421991,0.44821734082282133,0.29759206183147074,0.26916246271079547,0.19448063078394914,0.30194655646992896
MAE,0.037761939350907464,0.12270262812462607,0.011514256510567358,0.023316271362411604,0.056220922881693225,0.022185977309204716,0.005442745289550217,0.026420743043386482,0.00770333612580485,0.0060454890935177545,0.009542139707786957,0.0057329486268034805,0.006593116827207423
MPE,0.11917212936704828,0.03381009274605743,0.07610336913378417,0.03845642131380845,0.13080115938914882,0.026614065786906498,0.09322988738380764,0.03191240936844725,0.1727820359665362,0.0679900931948394,0.060105995854654856,0.03523569150886581,0.07117294147150025
ME,-0.03212430114394942,-0.07354158740896125,-0.007505015897227001,-0.017138043574147253,-0.04745242744669132,-0.01147347719349109,-0.0031210136265982505,-0.01874195827502156,-0.005521220748282245,-0.003801797139822012,-0.004529930968194396,-0.0037853247327211824,-0.004651487940915472
