,chlid,chl_a,chl_b,chc12,fucox,hxfcx,btfcx,diadi,allox,diato,zeaxa,betac,perid
MSE,0.014597851965159262,0.006421737010122183,0.011363323976805612,0.007923900561315452,0.012769359490423175,0.00734569553534587,0.005074304019721913,0.0080131228024457,0.021371597561932867,0.01135377237815033,0.005994826457999173,0.007334545858822133,0.014095593169939242
R2,0.9878980576035342,0.9900237440138657,0.9846488075807627,0.9909675986871359,0.9917707894150055,0.9839123938160712,0.9828645800065295,0.9887629423347867,0.9804467236868071,0.9838838935235699,0.9764430481150137,0.9883079931482018,0.9860962878802313
MAPE,0.13009143302697268,0.09442172500197817,0.12360264091394671,0.10850664499286086,0.14195745479373711,0.09596217907893699,0.07882829405370595,0.10735709013381664,0.16817298971272165,0.12160669096127326,0.08880812855941744,0.09877165491640817,0.14678394819874016
MAE,0.03023915134553363,0.07213356973227425,0.004785631300793711,0.01966851454533685,0.04718609246657153,0.012246916755491001,0.0014347881269492916,0.022449479199976297,0.0043035639204778925,0.0036819438303304698,0.003416315424168945,0.004421230416781489,0.0042188306821575455
MPE,0.013116239968891295,0.00958341176927601,0.006557906390052582,0.011959012839355415,0.026040340791448055,-0.0016431252665973157,0.0024102294765879955,0.007768700830934365,0.03350920581298673,0.0038859303526858967,0.005635414820073795,0.0036403789792802915,0.021923351300709694
ME,-0.02641805463361653,-0.032440843141929375,-0.0011907767054666364,-0.013151259859903796,-0.03866926322705617,-0.00610474275323236,-0.0003787226720600368,-0.017616465287829276,-0.002745732699166746,-0.002400843782037211,-0.0008575859679613917,-0.0032786570475468783,-0.0025508115692983624
