,chlid,chl_a,chl_b,chc12,fucox,hxfcx,btfcx,diadi,allox,diato,zeaxa,betac,perid
MSE,0.09395962207094212,0.02393107232765277,0.07564433296190601,0.02859048131535385,0.07915776496868708,0.03365735014534366,0.07089295818537732,0.028407679210206194,0.14336504615370735,0.06439389090381431,0.05324737267422941,0.027965944943297127,0.06921867617337812
R2,0.9221053935462462,0.9628227529113939,0.897808888218506,0.9674099013522518,0.9489867978222896,0.9262879611974834,0.7606015310938048,0.9601630054486948,0.8688326245628799,0.9085961240305782,0.7907619503455309,0.9554194593383388,0.9317235865689864
MAPE,0.32689191256033967,0.17497040022720256,0.31541159897460813,0.19764186587132776,0.33144035261435834,0.21179067500260393,0.2950483161709982,0.1992020844933312,0.47610919714484146,0.31179743700657025,0.2663421272251323,0.1890896632645379,0.3280845061806466
MAE,0.04883821978337675,0.11039923602722745,0.013413149423344909,0.023411173694877635,0.06417223948191027,0.023942316759791093,0.00514574487860452,0.026176863641301756,0.007905871985101204,0.0063366194670713746,0.009678469750929444,0.004684280934273405,0.007035769764016354
MPE,0.1070729100588684,0.03097315785794886,0.07946497614270884,0.03609025144002769,0.11143302640852347,0.03038277659677187,0.07464742880590038,0.03195788883577821,0.18875293763919188,0.07662938439624652,0.059852495111333184,0.03330690864881935,0.08399976690263584
ME,-0.04331133513414587,-0.06288096387071135,-0.009394201859916752,-0.01754971075830596,-0.05685903779143173,-0.012140689466372935,-0.0030081166532606126,-0.01898209999202496,-0.005993483514050188,-0.004099534677423584,-0.004685997346613448,-0.0029071852149140207,-0.004808240823040726
