,dims,kernel_sizes,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,400,0.23026421666145325
chl_a,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,476,0.13658946255842844
chl_b,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,566,0.20279528200626373
chc12,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,487,0.13155521949132284
fucox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,428,0.1618074377377828
hxfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,448,0.2296635458866755
btfcx,"[4, 4, 4, 4, 4]","[3, 5, 7, 9, 11]",0.0,0.01,l,mse,1,390,0.37771697839101154
diadi,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,506,0.14650224149227142
allox,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,534,0.2528070956468582
diato,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,517,0.19881840546925864
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,581,0.31814310948054
betac,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,470,0.15307529270648956
perid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,483,0.16967742145061493
