,dims,kernel_sizes,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,396,0.2480939378341039
chl_a,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,443,0.1340657373269399
chl_b,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,529,0.21138476332028708
chc12,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,469,0.13349356998999914
fucox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,391,0.16865662733713785
hxfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,527,0.20413638651371002
btfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,456,0.4258582890033722
diadi,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,510,0.13371066004037857
allox,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,455,0.2651314437389374
diato,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,503,0.20416219035784403
zeaxa,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,524,0.3736140827337901
betac,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,479,0.1425641526778539
perid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,493,0.17847488323847452
