,dims,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 2]",1,0.1,0.01,s,mse,295,0.3217996160189311
chl_a,"[4, 2]",1,0.1,0.01,s,mse,269,0.22176870703697205
chl_b,"[4, 2]",1,0.1,0.01,s,mse,402,0.344149778286616
chc12,"[4, 2]",1,0.1,0.01,s,mse,282,0.21480315923690796
fucox,"[4, 2]",1,0.1,0.01,s,mse,273,0.23275846739610037
hxfcx,"[8, 4, 2]",1,0.1,0.01,m,mse,424,0.4139430522918701
btfcx,"[8, 4, 2]",1,0.1,0.01,m,mse,314,0.5713054537773132
diadi,"[4, 2]",1,0.1,0.01,s,mse,271,0.2598547687133153
allox,"[4, 2]",1,0.1,0.01,s,mse,317,0.4045795798301697
diato,"[4, 2]",1,0.1,0.01,s,mse,309,0.37123745679855347
zeaxa,"[4, 2]",1,0.1,0.01,s,mse,558,0.6208372910817465
betac,"[4, 2]",1,0.1,0.01,s,mse,287,0.2341685344775518
perid,"[4, 2]",1,0.1,0.01,s,mse,275,0.27458733320236206
