,dims,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 2]",1,0.1,0.01,m,mse,317,0.2590944319963455
chl_a,"[4, 2]",1,0.1,0.01,m,mse,397,0.13371148705482483
chl_b,[2],1,0.1,0.01,s,mse,1224,0.2759718100229899
chc12,"[4, 2]",1,0.1,0.01,m,mse,326,0.14765186607837677
fucox,"[4, 4, 2]",1,0.1,0.01,l,mse,353,0.16995766758918762
hxfcx,"[4, 2]",1,0.1,0.01,m,mse,194,0.3214013675848643
btfcx,"[4, 2]",1,0.1,0.01,m,mse,249,0.5725551048914591
diadi,"[4, 4, 2]",1,0.1,0.01,l,mse,357,0.16820237537225088
allox,"[4, 4, 2]",1,0.1,0.01,l,mse,305,0.337348997592926
diato,"[4, 4, 2]",1,0.1,0.01,l,mse,342,0.268901785214742
zeaxa,"[4, 4, 2]",1,0.1,0.01,l,mse,321,0.4952045778433482
betac,"[4, 4, 2]",1,0.1,0.01,l,mse,337,0.16138960917790732
perid,"[4, 4, 2]",1,0.1,0.01,l,mse,399,0.18198679387569427
