,chlid,chl_a,chl_b,chc12,fucox,hxfcx,btfcx,diadi,allox,diato,zeaxa,perid
MSE,0.36585657466818955,0.052278869483765436,0.18073470130787486,0.06675079613372689,0.1980207619308154,0.1014661679341062,0.1574071167225103,0.08508076606156988,0.38353509252863005,0.16402360505281668,0.11831243592522507,0.2120328359239969
R2,0.8642604372737338,0.9644570536832253,0.8908443535880457,0.9664093319182058,0.9440607776000646,0.9032721383625327,0.7675168526132827,0.9487544106086863,0.8447789739273873,0.8974535514357163,0.7929231905907885,0.9091475129423403
MAPE,0.44798682940223533,0.16715058742967243,0.3458518308001746,0.19510514040181368,0.33192750527404885,0.24211813824306277,0.28789728266474524,0.23032170739747804,0.5516747373525994,0.3469312119091358,0.27231818606081337,0.40659346148671854
MAE,0.06806838485799567,0.14054407627275187,0.015428466644730117,0.036001322855019086,0.0793518358754649,0.030825979046249716,0.005436310876148778,0.05696682824958015,0.011405423504926165,0.008304621334327637,0.010651621171743484,0.010583362941581858
MPE,0.20273469671801134,0.030219794866186495,0.07844076053766169,0.04611736490249661,0.10664514294141145,0.029154223982894925,0.05408318401349059,0.05533443372475076,0.24106273184168583,0.09364010435030683,0.04559287396432697,0.14193030598759152
ME,-0.022643122566791386,-0.05131717368812176,-0.008341613251864907,-0.007583084982742334,-0.02866316376691936,-0.014177581540418637,-0.002909710130014935,-0.028767345660506073,-0.006652283164323684,-0.00298146603067783,-0.005103027234633228,-0.005233127094600854
