,chlid,chl_a,chl_b,chc12,fucox,hxfcx,btfcx,diadi,allox,diato,zeaxa,betac,perid
MSE,0.05981076450366712,0.009225790726880904,0.028818324340351212,0.011497236101273295,0.03083797317247155,0.014913513648859697,0.024704966385404377,0.013225243415636561,0.06610549271548943,0.02588533921902951,0.017242414931925278,0.012569135571224065,0.034161582708863485
R2,0.8840688262330616,0.9675527263012217,0.9100243621305308,0.9695586851617205,0.9544758949338746,0.9236394175473572,0.7958594798190216,0.9593486167129854,0.861730243347857,0.915467923494665,0.8335248654935536,0.9546495043238383,0.9228990954913716
MAPE,0.4011218325640761,0.1660508630460906,0.29109408551876476,0.19363163667490643,0.3176076451906425,0.21018767642214742,0.2571962471686084,0.2083174768542356,0.5108394607864746,0.3113860067117176,0.238470023696787,0.19850969400134005,0.3617846917253503
MAE,0.05491432167616904,0.14627222267504716,0.014534117181354743,0.03397857326917303,0.08031580171067108,0.02680488055228428,0.004876292177773775,0.05365977992462313,0.011639535647862631,0.0075704119336963355,0.009206568770368769,0.011406506993505797,0.009847598945347084
MPE,0.16886005346725075,0.033437714623494694,0.056064755338304434,0.040548811576591334,0.0993911568310888,0.014519138980716136,0.03996753538389631,0.04494959357898043,0.19565458764704682,0.07265875240590564,0.04614087435530237,0.04636408996911446,0.11713864779047964
ME,-0.03622838238561703,-0.03240076745001376,-0.008689861724494841,-0.011082433567049967,-0.013229377805315868,-0.013524989342788223,-0.002728918504529888,-0.026860037659484488,-0.00699385902952035,-0.0030360412261347947,-0.003848592723097393,-0.004172283608330664,-0.004748970457899629
