,chlide,chla,chlb,chlc12,fuco,hex,but,diad,allo,diato,zea,caro,peri
412,0.0772845712407226,0.13854401515397644,0.16304460829789086,0.13010854740527325,0.10581570763939194,0.22400321013161115,0.32210712021748933,0.12111406467322793,0.16586619788514717,0.18331100402532943,0.2625686248897442,0.1431575319064515,0.1583784386748448
442,0.34903346511003164,0.3239221352684711,0.31214100987251314,0.32920329075672533,0.35415875347929876,0.2447351270987253,0.5236293670854398,0.22873266067888057,0.43885997330237714,0.27497450701360193,0.213731429148798,0.32919739306505236,0.14199667763231055
490,0.22772755384046053,0.2955179950222373,0.21899026991533382,0.2874642936512828,0.258858350637768,0.3509113843985168,0.6087629328082714,0.2546109854842403,0.3793076607398689,0.4196995587886444,0.5185879826146577,0.317361315762225,0.10021981397377593
560,0.47162390533568604,0.5259981102177075,0.5328224963242454,0.5404129098834736,0.5424442677758634,0.5270063370865371,0.7063496893803988,0.43590958163674387,0.6051995410983052,0.529983223149819,0.3058229157052535,0.43035198158551274,0.41339003786976847
673,0.3648471423699188,0.3864657967351377,0.3303925938006224,0.3615939032419452,0.3521465525430228,0.3238222389481962,0.47622839813785894,0.397213704538964,0.33285645661609514,0.35764340976519243,0.49989904423377346,0.41800786232176634,0.3790873096191457
