,dims,kernel_sizes,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,469,0.22253491977850595
chl_a,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,505,0.12991584837436676
chl_b,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,532,0.20780243972937265
chc12,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,547,0.11608079075813293
fucox,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,433,0.15706682205200195
hxfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,528,0.203712726632754
btfcx,"[4, 4, 4, 4, 4]","[3, 5, 7, 9, 11]",0.0,0.01,l,mse,1,471,0.35323866208394367
diadi,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,458,0.1504993438720703
allox,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,430,0.25958411395549774
diato,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,510,0.1910347193479538
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,493,0.3553155263264974
betac,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,385,0.16914178927739462
perid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,501,0.16975987454255423
