,dims,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 2]",0.1,0.01,m,mse,1,234,0.259956235686938
chl_a,"[4, 2]",0.1,0.01,m,mse,1,260,0.19559610386689505
chl_b,"[4, 2]",0.1,0.01,m,mse,1,251,0.3287844657897949
chc12,"[4, 2]",0.1,0.01,m,mse,1,248,0.1963933656613032
fucox,"[4, 2]",0.1,0.01,m,mse,1,259,0.20505578815937042
hxfcx,"[4, 2]",0.1,0.01,m,mse,1,288,0.36213891704877216
btfcx,"[4, 4, 2]",0.1,0.01,l,mse,1,361,0.6724561452865601
diadi,"[4, 2]",0.1,0.01,m,mse,1,372,0.17674225568771362
allox,[2],0.1,0.01,s,mse,1,488,0.3561759094397227
diato,"[4, 2]",0.1,0.01,m,mse,1,305,0.3265203833580017
zeaxa,"[4, 2]",0.1,0.01,m,mse,1,201,0.6009681224822998
betac,"[4, 2]",0.1,0.01,m,mse,1,261,0.2122302750746409
perid,"[4, 2]",0.1,0.01,m,mse,1,308,0.2171839028596878
