,dims,kernel_sizes,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,468,0.19285190602143606
chl_a,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,509,0.13695683578650156
chl_b,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,551,0.21606092154979706
chc12,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,468,0.13280101617177328
fucox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,434,0.15277672310670218
hxfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,582,0.21536674598852792
btfcx,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,519,0.4503352443377177
diadi,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,468,0.14651688188314438
allox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,498,0.23987377186616263
diato,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,543,0.21051033834616342
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,603,0.3415439526240031
betac,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,462,0.14694995184739432
perid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,537,0.16194027662277222
