,dims,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4]",0.1,0.01,s,mse,1,312,0.31537769238154095
chl_a,"[4, 4]",0.1,0.01,s,mse,1,384,0.23038813968499502
chl_b,"[4, 4, 4]",0.1,0.01,m,mse,1,378,0.3673818012078603
chc12,"[4, 4]",0.1,0.01,s,mse,1,377,0.22232757012049356
fucox,"[4, 4]",0.1,0.01,s,mse,1,381,0.22884995738665262
hxfcx,"[4, 4]",0.1,0.01,s,mse,1,340,0.4516388277212779
btfcx,"[4, 4]",0.1,0.01,s,mse,1,427,0.6873515645662943
diadi,"[4, 4]",0.1,0.01,s,mse,1,357,0.24289321899414062
allox,"[4, 4]",0.1,0.01,s,mse,1,371,0.3791281282901764
diato,"[4, 4]",0.1,0.01,s,mse,1,407,0.35342710216840106
zeaxa,"[4, 4]",0.1,0.01,s,mse,1,418,0.6341299811999003
betac,"[4, 4]",0.1,0.01,s,mse,1,349,0.2633999188741048
perid,"[4, 4]",0.1,0.01,s,mse,1,317,0.2743496100107829
