,chlide,chla,chlb,chlc12,fuco,hex,but,diad,allo,diato,zea,caro,peri
400,0.049779531121852676,0.07893418035694465,0.08445506214463551,0.0708500440149302,0.07395345311877984,0.10688421928456851,0.19651636122060673,0.0667157996878294,0.1074854505152741,0.1052817600180528,0.15097805372040188,0.0857560220340799,0.041574057283079516
412,0.06984057116954188,0.09694171717377945,0.10484044666268996,0.09198313331164952,0.08676094602976393,0.11966407806279936,0.18768306522231018,0.10661167242298168,0.09548648311257628,0.11014049017934927,0.10182036293138351,0.09189952567872492,0.10170517234863448
442,0.2647010525688529,0.28847894578107763,0.2850550205579826,0.293157588158335,0.3109739409493549,0.2445333850170885,0.4456069891873215,0.22639378585985728,0.3078162087393658,0.2369948122650385,0.16379872277112945,0.2747991220759494,0.1699472618555384
490,0.20175740039641304,0.23410375003835984,0.14975516080656753,0.2370817908751113,0.2458149181412799,0.2194539728142055,0.5109208869481725,0.18620473286136985,0.36816742055192925,0.30450647327649805,0.29513977308358463,0.24751525784709624,0.08243711216242186
510,0.05573784367464084,0.050454421564999005,0.09287815371395222,0.04514623757651342,0.048846614231089394,0.08504768727081162,0.18937650968187622,0.04678465935285203,0.09709618432680145,0.08146312972530723,0.23457124270498753,0.0796209245038751,0.09109127762660917
560,0.27632990692966686,0.32477175118401647,0.25890810218905763,0.3579870369285345,0.36141195919896874,0.2809498930083854,0.6205729791628463,0.268008821776935,0.45772395176546915,0.37644556241243016,0.16900704004469194,0.28444695685591015,0.1764982730549361
620,0.22310378212880874,0.2823640228244975,0.18601565515356405,0.2941589124384336,0.29538600968330037,0.2925199254282883,0.8552670231022473,0.19644270783257006,0.4635473165128912,0.3103169714366751,0.18882181942795537,0.21430314622869315,0.05656476120306512
665,0.062279791093065535,0.06382668052018355,0.1137380235429321,0.05961571126577577,0.06632483534381858,0.09139478175867614,0.33559248855869683,0.05427019175424773,0.14424912288918026,0.07791984719889504,0.07903216872780051,0.07281041973536569,0.09674120486098607
673,0.10026109996916992,0.08688922070931378,0.10760433279210702,0.083259349938349,0.085786702452294,0.07486636876170191,0.36122234674569753,0.1245214237590387,0.1662930633007948,0.0694458517412256,0.11506977368844673,0.10079055505671672,0.18911438179202378
681,0.17441851173394493,0.23387660538511618,0.34656668693891596,0.20594415135149444,0.20135468578830892,0.18674558305480918,0.2508177371429546,0.2154240951806839,0.1463141428373222,0.16314701217093638,0.2522847514732608,0.2671292179064559,0.29513067978301216
708,0.11063142553653701,0.15344590083363333,0.11107321253439295,0.17388770742607967,0.17330829253686325,0.15488426527008414,0.7681534939516236,0.06929692223535053,0.33708059904165566,0.12440282182901033,0.1787851114931982,0.1056947110420359,0.14733252870584174
