,chlid,chl_a,chl_b,chc12,fucox,hxfcx,btfcx,diadi,allox,diato,zeaxa,betac,perid
MSE,0.022471490159615908,0.007537416721900926,0.017955865099486892,0.008640455046359581,0.016161366991766096,0.008643810729453244,0.009282950971485569,0.009152696763917485,0.027124789036661875,0.013929577544274376,0.011296073445887157,0.00834293808516813,0.014643355881616643
R2,0.9806618440441128,0.9880744956946466,0.9747264881026384,0.9899660320119229,0.9894985179798097,0.9810631734624954,0.9667846401704939,0.9872629906547309,0.9739205545385564,0.9797544262551723,0.9537967311115501,0.9862987614219901,0.985443032576813
MAPE,0.1606858114114261,0.0950541491556395,0.151145465989922,0.11226451992118205,0.15341335927688585,0.10450091699220267,0.10808227641046879,0.11204192996939283,0.19046357453719093,0.1314205389132781,0.11781636373470893,0.10629010741604739,0.1435370598923434
MAE,0.0388020552760709,0.07241709010562321,0.005773757790109723,0.018950770917859436,0.06174491444796941,0.013567356256797055,0.002100798155630755,0.02667352928861311,0.004974661836896542,0.0040035787812119725,0.004806443877239136,0.005268884523441173,0.0042712787694137565
MPE,0.02715921694641776,0.010530001965679592,0.010384591351107622,0.01145196019019196,0.01972425971677126,0.007181609404519386,0.00114506494089245,0.010792423414508995,0.036579111073795134,0.018030139114866704,0.002166743924482045,0.008038721339018886,0.018783197447659977
ME,-0.03686296781416388,-0.038780545953512206,-0.0031264972348549165,-0.014605582223156839,-0.054315729283121464,-0.005593924172793984,-0.0011032353220305814,-0.021895811974106314,-0.0036836985465162867,-0.00272929551528209,-0.002145824497543323,-0.004172133287407316,-0.0031417495002839606
