,chlide,chla,chlb,chlc12,fuco,hex,but,diad,allo,diato,zea,caro,peri
412,0.08215915636433888,0.11813159465548649,0.22166931496966363,0.11528569010884634,0.09019415453076363,0.20819981173346086,0.323518821437444,0.09116887374381934,0.12722350367611007,0.18821296095848083,0.41226424514648635,0.15562435631623625,0.1607400617795065
442,0.3310697970363045,0.33187509438305696,0.3622840966231057,0.33617172638020876,0.34279828103691606,0.2546843239023084,0.4392820899374783,0.2559103338031231,0.45167286986751215,0.29510493516655906,0.28982946058801773,0.3335468918085098,0.18592015756959362
490,0.2670622501588826,0.3000408200813191,0.24076736127192686,0.31778401688539554,0.27940628391557504,0.3053417175542563,0.5741997093760541,0.22723307335400023,0.3238433079261865,0.38193019242109066,0.442488992719778,0.3566230663231441,0.10275093217413607
560,0.45127101468720604,0.5284927974322012,0.47281159912901266,0.5763664146818753,0.565980603652341,0.49286182386068894,0.8775408725653376,0.40858236101589035,0.6280053390988282,0.5345299834651607,0.2168185201298911,0.4593844719763313,0.2836358921901722
673,0.2904639367812446,0.26172094399641666,0.262281103924449,0.24478676319787546,0.24644945515319705,0.20225729334301182,0.6242357867636851,0.2971992274480207,0.2514978770299682,0.2658750301759158,0.3470604145633323,0.266829296015203,0.44227389472403694
