,dims,kernel_sizes,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,480,0.19603681564331055
chl_a,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,474,0.14125390847524008
chl_b,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,456,0.2382959177096685
chc12,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,471,0.1391891489426295
fucox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,501,0.14350813130537668
hxfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,470,0.2190393259127935
btfcx,"[4, 4, 4, 4, 4]","[3, 5, 7, 9, 11]",0.0,0.01,l,mse,1,394,0.3929406801859538
diadi,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,504,0.1496854325135549
allox,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,438,0.2585466007391612
diato,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,488,0.2119776556889216
zeaxa,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,523,0.3666032950083415
betac,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,414,0.16224736968676248
perid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,539,0.16955559452374777
