,dims,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4]",0.1,0.01,s,mse,1,347,0.3327357570330302
chl_a,"[4, 4]",0.1,0.01,s,mse,1,391,0.21752885480721793
chl_b,"[4, 4]",0.1,0.01,s,mse,1,342,0.36220137278238934
chc12,"[4, 4]",0.1,0.01,s,mse,1,385,0.2115019162495931
fucox,"[4, 4]",0.1,0.01,s,mse,1,378,0.21878609557946524
hxfcx,"[4, 4]",0.1,0.01,s,mse,1,336,0.42410265405972797
btfcx,"[4, 4]",0.1,0.01,s,mse,1,488,0.7082509994506836
diadi,"[4, 4]",0.1,0.01,s,mse,1,362,0.239112988114357
allox,"[4, 4]",0.1,0.01,s,mse,1,370,0.40282456080118817
diato,"[4, 4]",0.1,0.01,s,mse,1,373,0.3595356245835622
zeaxa,"[4, 4]",0.1,0.01,s,mse,1,413,0.6304316918055216
betac,"[4, 4]",0.1,0.01,s,mse,1,361,0.25077001253763836
perid,"[4, 4]",0.1,0.01,s,mse,1,325,0.26939335465431213
