,dims,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 2]",0.1,0.01,m,mse,1,238,0.27647491296132404
chl_a,"[4, 2]",0.1,0.01,m,mse,1,246,0.17968453963597616
chl_b,"[4, 4, 2]",0.1,0.01,l,mse,1,362,0.3037747343381246
chc12,"[4, 2]",0.1,0.01,m,mse,1,246,0.18106438219547272
fucox,[2],0.1,0.01,s,mse,1,500,0.2040276676416397
hxfcx,[2],0.1,0.01,s,mse,1,555,0.3600999613602956
btfcx,"[4, 4, 2]",0.1,0.01,l,mse,1,343,0.6809915701548258
diadi,"[4, 2]",0.1,0.01,m,mse,1,292,0.18015592296918234
allox,"[4, 2]",0.1,0.01,m,mse,1,241,0.38567104935646057
diato,"[4, 2]",0.1,0.01,m,mse,1,328,0.3183438181877136
zeaxa,"[4, 4, 2]",0.1,0.01,l,mse,1,258,0.5686145424842834
betac,"[4, 2]",0.1,0.01,m,mse,1,255,0.19138521949450174
perid,"[4, 2]",0.1,0.01,m,mse,1,306,0.20029363532861075
