,dims,kernel_sizes,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,470,0.21056533853212991
chl_a,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,466,0.12481537461280823
chl_b,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,539,0.21619859337806702
chc12,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,470,0.1254148210088412
fucox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,426,0.15121059119701385
hxfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,545,0.2223491072654724
btfcx,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,453,0.4755830268065135
diadi,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,515,0.13077472895383835
allox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,483,0.2674349347750346
diato,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,515,0.21311837434768677
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,591,0.3500020205974579
betac,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,481,0.13059676686922708
perid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,581,0.15022734800974527
