,dims,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4]",0.1,0.01,s,mse,1,312,0.33105013767878216
chl_a,"[4, 4]",0.1,0.01,s,mse,1,401,0.2026083767414093
chl_b,"[4, 4]",0.1,0.01,s,mse,1,420,0.3548196454842885
chc12,"[4, 4]",0.1,0.01,s,mse,1,343,0.21150745948155722
fucox,"[4, 4]",0.1,0.01,s,mse,1,361,0.2216134419043859
hxfcx,"[4, 4]",0.1,0.01,s,mse,1,281,0.4118940830230713
btfcx,"[4, 4]",0.1,0.01,s,mse,1,413,0.6909606655438741
diadi,"[4, 4]",0.1,0.01,s,mse,1,327,0.23155810435612997
allox,"[4, 4]",0.1,0.01,s,mse,1,362,0.4003538986047109
diato,"[4, 4]",0.1,0.01,s,mse,1,377,0.3475063443183899
zeaxa,"[4, 4]",0.1,0.01,s,mse,1,434,0.6281861265500387
betac,"[4, 4]",0.1,0.01,s,mse,1,344,0.24009694159030914
perid,"[4, 4]",0.1,0.01,s,mse,1,279,0.2711864213148753
