,chlid,chl_a,chl_b,chc12,fucox,hxfcx,btfcx,diadi,allox,diato,zeaxa,betac,perid
MSE,0.49996147391090656,0.08602343292756053,0.354616280526937,0.10279769671508916,0.2802463662979861,0.1941995903353553,0.28972232618998234,0.13616163247083518,0.6684610714888957,0.31194422437854596,0.24277445798813638,0.09728007639298857,0.333805218962579
R2,0.8145050368161482,0.9415150654801664,0.7858276852811875,0.9482696310765827,0.9208327265370588,0.8148692171344242,0.5720933102434754,0.9179875378249193,0.7294661807293186,0.8049745806412476,0.5750830436962091,0.9321135085142919,0.856970104637719
MAPE,0.5062343200224991,0.2221216454763919,0.4749835718847225,0.24061324564807332,0.4267483534347359,0.3685820766211636,0.42719415612591716,0.29826548147630677,0.7971638607490432,0.5222812333337833,0.42234552400060443,0.24196306166946335,0.545055810570578
MAE,0.09060942704476416,0.21008354026204834,0.024796129913936198,0.042707596058181016,0.09648642219515473,0.038047849501419706,0.006952009665116265,0.08246479737313533,0.016194136921271078,0.013337152032318549,0.015530643844548107,0.013378432868390872,0.013685253373469049
MPE,0.21742301157261573,0.03601434783649001,0.1573797076317895,0.04385591904900596,0.1514650855950419,0.11318277894949043,0.12943475908390495,0.06890010332576595,0.41144932640684145,0.1779941741226482,0.11658901592063388,0.04142267799280643,0.22074309119286717
ME,-0.07533012989151112,-0.09563312683811061,-0.012622534339993791,-0.029715852191065623,-0.0420887236371133,-0.019952697244834255,-0.0036137970467878355,-0.061475894017259815,-0.009436173614508195,-0.008383148695594958,-0.007503027446793545,-0.009653780586101317,-0.007223015778241932
