,chlid,chl_a,chl_b,chc12,fucox,hxfcx,btfcx,diadi,allox,diato,zeaxa,betac,perid
MSE,0.3917870249224404,0.06552246204962302,0.23092813999686074,0.08125215797966528,0.22784556886582505,0.12924003137650472,0.1706121613560134,0.08984227028755472,0.45037877865027814,0.19544554563525143,0.15189078772947215,0.07926256877105622,0.20135436013059888
R2,0.8546397601490998,0.95545310420502,0.8605297698026001,0.9591118843862685,0.9356355170773546,0.8767952695214931,0.7480136026859567,0.9458864758010325,0.8177265718176551,0.8778087666945867,0.7341525473995851,0.9446869503034283,0.9137230593646075
MAPE,0.5059678508309228,0.2005859349490445,0.3920372379834381,0.23390416979018597,0.3968231350369996,0.27494732900984925,0.30973562573435054,0.2503809771113832,0.6700859314230088,0.39082988348984293,0.3267783350216441,0.22805679530047507,0.37638326197730837
MAE,0.08427034499255547,0.17357655628732738,0.019391762137715075,0.035494807034279846,0.08248799932726135,0.032636356388137146,0.005439588080854029,0.05083323889957085,0.013474459404379531,0.00806816447561657,0.011821007219037496,0.011248266998066293,0.010165183240389704
MPE,0.2791291564452863,0.08388235817165496,0.15136466479444377,0.1077898107607834,0.20907352037132257,0.05983728788884975,0.0900356629237064,0.10018633548599415,0.3892999639242371,0.1526780242535184,0.12336319752525413,0.10017294013055314,0.11316998743800276
ME,-0.005765581760482994,-0.001528911355508345,-0.00921668230183221,0.005369012686199432,-0.013632383125909687,-0.012414658994271948,-0.0027635113085846636,-0.009017063487083525,-0.005077070199321653,-0.0001694727106835377,-0.0035874943002494612,-0.0014801041305065167,-0.0038680398075534284
