,dims,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 2]",0.1,0.01,m,mse,1,236,0.2815784513950348
chl_a,"[4, 2]",0.1,0.01,m,mse,1,275,0.1759738971789678
chl_b,"[4, 2]",0.1,0.01,m,mse,1,261,0.3129487832387288
chc12,"[4, 2]",0.1,0.01,m,mse,1,274,0.17353994647661844
fucox,"[4, 2]",0.1,0.01,m,mse,1,273,0.19344535966714224
hxfcx,"[4, 2]",0.1,0.01,m,mse,1,249,0.3623600999514262
btfcx,"[4, 4, 2]",0.1,0.01,l,mse,1,262,0.6735596458117167
diadi,"[4, 2]",0.1,0.01,m,mse,1,339,0.17541340490182242
allox,[2],0.1,0.01,s,mse,1,461,0.3686017493406932
diato,"[4, 2]",0.1,0.01,m,mse,1,343,0.3095386326313019
zeaxa,[2],0.1,0.01,s,mse,1,548,0.5955382585525513
betac,"[4, 2]",0.1,0.01,m,mse,1,294,0.19501925508181253
perid,"[4, 2]",0.1,0.01,m,mse,1,284,0.20426383117834726
