,dims,kernel_sizes,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,421,0.22383893529574075
chl_a,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,465,0.12403268367052078
chl_b,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,513,0.21360549330711365
chc12,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,415,0.13169423739115396
fucox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,484,0.1378337542215983
hxfcx,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,516,0.2249654233455658
btfcx,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,462,0.42440924048423767
diadi,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,397,0.15542704860369363
allox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,394,0.2831159134705861
diato,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,454,0.22185035546620688
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,445,0.3679908712704976
betac,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,508,0.13229442636171976
perid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,498,0.1632628639539083
