,chlide,chla,chlb,chlc12,fuco,hex,but,diad,allo,diato,zea,caro,peri
412,0.08322640747896262,0.119290431628802,0.16476332256154688,0.11124547925179026,0.09328849760017224,0.183616935329545,0.24452601575259386,0.10082799753373754,0.11086993428346302,0.15380010807088443,0.26013991002608755,0.13715873030014336,0.14631393798793266
442,0.29043572921571986,0.28429227375558447,0.3104609478531139,0.297478263100077,0.28979257381122026,0.22533036607118057,0.4827650533989072,0.19837437543485845,0.40318592291857513,0.22269982232579164,0.1954491846596024,0.2678808847309223,0.12072549826864686
490,0.2778130477693464,0.27331386998827967,0.23061209537887148,0.27245350940419094,0.30083442971642527,0.1924545917177706,0.5374604915933949,0.19255836855986022,0.28692508611961137,0.2891859261061264,0.3839737107711179,0.32634084086333004,0.10717758539664958
560,0.513424889982811,0.6062026557379535,0.5625080921288047,0.6374310425682259,0.6356238489970565,0.6184085623494217,0.8582580013732825,0.4810845916425543,0.6481318694672414,0.615460526730333,0.381840536886427,0.5155292441195343,0.29416816249223693
673,0.2891795731349183,0.26016298631605295,0.24102348802677756,0.24967489291780762,0.24947721690737776,0.22114745268066013,0.49240248815996374,0.34180545567401815,0.3242663254163095,0.3228204367416246,0.3407097862966891,0.3055533403530717,0.4339615089619266
