,chlid,chl_a,chl_b,chc12,fucox,hxfcx,btfcx,diadi,allox,diato,zeaxa,betac,perid
MSE,0.0605041484545325,0.008150977992883113,0.030209034141406663,0.010611361354212371,0.029592611688108807,0.018181005273800326,0.015720654368532025,0.013674407851274379,0.07117577179317884,0.027032305501297777,0.015031090577373417,0.012202725414416965,0.030298662425989477
R2,0.8827248404812986,0.9713328622253268,0.9056823330811152,0.9719042221103421,0.9563143415380777,0.9069091171289394,0.8700980802680429,0.9579679876343237,0.8511249785592278,0.911722349959725,0.8548751531890311,0.9559715429109649,0.9316175044243697
MAPE,0.4105167194248572,0.15764070339763422,0.3081504348751012,0.1840828030949739,0.31394213170663915,0.2316848175298631,0.20037929804588003,0.21595873126819218,0.5739412129094856,0.32128520192545884,0.2259580285640653,0.19374309292207195,0.34044140250559257
MAE,0.06181194453775265,0.1368441766222875,0.015107278246653214,0.03538584041960301,0.0959008778549352,0.0302653766247744,0.003972558834109527,0.05568640268653251,0.012003729055043617,0.007507497432839813,0.008436840784845839,0.010863750913225733,0.009391262371206929
MPE,0.17122167889249695,0.03824891671194437,0.05651661842338625,0.04376632283905869,0.1057635153543344,0.027048493001486214,0.024158113439725248,0.0474800008112937,0.26205160058021054,0.08415647500571471,0.04357266003415112,0.04707703310556475,0.10823804473133691
ME,-0.03394544134051983,-0.024637978815242764,-0.007961903545125177,-0.00953693720200639,-0.006078794763460288,-0.015163587543077912,-0.002273782953776562,-0.03156822727165594,-0.005534493523928675,-0.002466898015941118,-0.003748825634634421,-0.004617809808351054,-0.004633000035391778
