,chlid,chl_a,chl_b,chc12,fucox,hxfcx,btfcx,diadi,allox,diato,zeaxa,betac,perid
MSE,0.23572070832238634,0.03830016401383876,0.17027892874111913,0.05116853493716171,0.14129261436363078,0.08320015431441405,0.1509874616811382,0.06072515335627587,0.28957296409027056,0.14731109392509897,0.12854288177033196,0.039433180985183926,0.16424213602307383
R2,0.8028922714392532,0.9408509622579682,0.7696914082373969,0.9411141064068675,0.9091894711340264,0.8082960876071313,0.471817316661857,0.9178463248845973,0.7274140745208237,0.791974344105535,0.4726982921610007,0.938558737934835,0.83541441698647
MAPE,0.5633215573736978,0.2298207834279538,0.4992547027454995,0.2684343578140316,0.4641337796636464,0.3712278866255877,0.5129613201026935,0.3242239411996069,0.8789545120698714,0.5785316524294745,0.47767162661111096,0.24276605643189395,0.5998190202194974
MAE,0.07519373370056365,0.2083721301873854,0.026616460447091678,0.04078397057033079,0.11912879054840117,0.03677644594869226,0.007393595587485914,0.0829668089415598,0.014731674813646468,0.012907697052945187,0.017215739354067932,0.01394093712546406,0.013624073084111616
MPE,0.29772038835958087,0.0714364964037471,0.20374718044107556,0.09066946415691347,0.21143373630384787,0.1257725267694164,0.20621185131705075,0.10213124110123598,0.5126411396963957,0.24257613640144596,0.17341158553586566,0.07125658916336121,0.26681402369800095
ME,-0.05753991902036793,-0.045939970229135214,-0.013560500276480222,-0.015193986585874852,-0.004460732895135894,-0.01692175536968716,-0.003198153991247438,-0.053701116537768746,-0.007447969331536562,-0.006881811946934197,-0.007550603673854832,-0.007256745466472711,-0.007327772239605141
