,chlid,chl_a,chl_b,chc12,fucox,hxfcx,btfcx,diadi,allox,diato,zeaxa,betac,perid
MSE,0.03214836309439808,0.00622533817453308,0.015842522924475466,0.007827592571126958,0.013792352227134996,0.008137000788818396,0.010192437751084938,0.00822400500203584,0.02754304359810795,0.0139177900722789,0.00987535304194673,0.006643003912612582,0.015970435376764944
R2,0.9731178016917525,0.990385869822664,0.9785723978199916,0.9909918315269367,0.9911354828722434,0.9812512981590696,0.9643449259879998,0.9888739311843191,0.9740726968303468,0.9803459649151788,0.9594898569814589,0.9896494643825945,0.9839961688205547
MAPE,0.1885056369125686,0.09522725978056745,0.14688125435793672,0.1051369963435715,0.14702250501623573,0.10877892023231713,0.11073089375558945,0.1136414974494488,0.19303938439117013,0.14011351410887884,0.11539498313622397,0.09707765495501942,0.1554684140891738
MAE,0.0363418677425076,0.07326805432501876,0.005641189761367288,0.020628516711431327,0.0543399270670192,0.014002605407275973,0.0021729975369871608,0.02611789229744178,0.005048498345597702,0.0037951437516493863,0.004804959666867546,0.0052272093275464665,0.0042727802197893815
MPE,0.05285738509941201,0.006449003803443527,0.014919297694590909,0.00715391688276867,0.01731457673062172,-0.0024711983330238134,-0.0060110245665202415,0.010254007246433246,0.040517420866445227,0.014892501714370449,1.239282245389352e-05,0.003752982235143073,0.025732565134582105
ME,-0.03313043063704326,-0.046497801865984706,-0.002792146889098985,-0.015554201811007258,-0.049789210936317975,-0.006807307906834187,-0.0013898355527407233,-0.02016203837498737,-0.003100411949000043,-0.0026745195465565767,-0.0023245188181434478,-0.0038639424034497545,-0.003004628040225121
