,dims,kernel_sizes,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,473,0.2128304789463679
chl_a,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,477,0.15881567200024924
chl_b,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,427,0.2370357612768809
chc12,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,524,0.14021811882654825
fucox,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,478,0.15860168635845184
hxfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,558,0.19534802933533987
btfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,324,0.42904741565386456
diadi,"[4, 4, 4, 4, 4]","[3, 5, 7, 9, 11]",1,0.0,0.01,l,mse,323,0.1716905782620112
allox,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,476,0.22545605897903442
diato,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,512,0.19189967215061188
zeaxa,"[4, 4, 4, 4, 4]","[3, 5, 7, 9, 11]",1,0.0,0.01,l,mse,360,0.3222976525624593
betac,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,440,0.1622153421243032
perid,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,403,0.19250758488972983
