,dims,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 2]",1,0.1,0.01,s,mse,270,0.3042932947476705
chl_a,"[4, 2]",1,0.1,0.01,s,mse,299,0.2294794817765554
chl_b,"[4, 2]",1,0.1,0.01,s,mse,422,0.3443661828835805
chc12,"[4, 2]",1,0.1,0.01,s,mse,264,0.23203607400258383
fucox,"[4, 2]",1,0.1,0.01,s,mse,279,0.23582116762797037
hxfcx,"[8, 4, 2]",1,0.1,0.01,m,mse,442,0.4019954800605774
btfcx,"[8, 4, 2]",1,0.1,0.01,m,mse,356,0.56939697265625
diadi,"[4, 2]",1,0.1,0.01,s,mse,286,0.26239603757858276
allox,"[4, 2]",1,0.1,0.01,s,mse,320,0.38288528720537823
diato,"[4, 2]",1,0.1,0.01,s,mse,330,0.35821910699208576
zeaxa,"[8, 8, 4, 2]",1,0.1,0.01,l,mse,229,0.6501752336819967
betac,"[4, 2]",1,0.1,0.01,s,mse,293,0.239656796058019
perid,"[4, 2]",1,0.1,0.01,s,mse,270,0.2961321870485942
