,dims,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 4, 2]",1,0.1,0.01,l,mse,369,0.2443714588880539
chl_a,"[4, 2]",1,0.1,0.01,m,mse,356,0.1528236816326777
chl_b,"[4, 4, 2]",1,0.1,0.01,l,mse,403,0.26003190378348034
chc12,[2],1,0.1,0.01,s,mse,1210,0.15123727917671204
fucox,"[4, 4, 2]",1,0.1,0.01,l,mse,344,0.1816591421763102
hxfcx,"[4, 2]",1,0.1,0.01,m,mse,248,0.28836463888486225
btfcx,"[4, 2]",1,0.1,0.01,m,mse,314,0.5765634576479594
diadi,"[4, 4, 2]",1,0.1,0.01,l,mse,395,0.16778756181399027
allox,"[4, 2]",1,0.1,0.01,m,mse,369,0.26663384834925336
diato,"[4, 4, 2]",1,0.1,0.01,l,mse,325,0.28521108627319336
zeaxa,"[4, 4, 2]",1,0.1,0.01,l,mse,300,0.5114920735359192
betac,"[4, 2]",1,0.1,0.01,m,mse,338,0.16241301596164703
perid,"[4, 4, 2]",1,0.1,0.01,l,mse,407,0.19110981126626334
