,dims,kernel_sizes,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,456,0.19944032033284506
chl_a,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,465,0.13503851989905039
chl_b,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,559,0.20637280245622
chc12,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,363,0.1501371165116628
fucox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,476,0.14639655749003092
hxfcx,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,497,0.23247202237447104
btfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,457,0.4521785378456116
diadi,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,509,0.1364736258983612
allox,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,495,0.26521262526512146
diato,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,530,0.20419487357139587
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,495,0.3453071216742198
betac,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,468,0.14356839656829834
perid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,486,0.14840037624041238
