,dims,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 2]",0.1,0.01,m,mse,1,244,0.2622283399105072
chl_a,"[4, 2]",0.1,0.01,m,mse,1,279,0.18717308839162192
chl_b,"[4, 2]",0.1,0.01,m,mse,1,252,0.30692124366760254
chc12,"[4, 2]",0.1,0.01,m,mse,1,281,0.18214854101339975
fucox,"[4, 2]",0.1,0.01,m,mse,1,272,0.20820445319016775
hxfcx,"[4, 2]",0.1,0.01,m,mse,1,256,0.4077144265174866
btfcx,"[4, 4, 2]",0.1,0.01,l,mse,1,300,0.6951154867808024
diadi,"[4, 2]",0.1,0.01,m,mse,1,329,0.18667295575141907
allox,"[4, 2]",0.1,0.01,m,mse,1,259,0.3785979747772217
diato,"[4, 2]",0.1,0.01,m,mse,1,338,0.31709712743759155
zeaxa,"[4, 4, 2]",0.1,0.01,l,mse,1,279,0.5570605198542277
betac,"[4, 2]",0.1,0.01,m,mse,1,251,0.21806710958480835
perid,"[4, 2]",0.1,0.01,m,mse,1,300,0.19208413859208426
