,dims,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4]",0.1,0.01,s,mse,1,350,0.30780450503031415
chl_a,"[4, 4]",0.1,0.01,s,mse,1,371,0.2324846237897873
chl_b,"[4, 4]",0.1,0.01,s,mse,1,414,0.3538946906725566
chc12,"[4, 4]",0.1,0.01,s,mse,1,382,0.21410911281903586
fucox,"[4, 4]",0.1,0.01,s,mse,1,391,0.22454521556695303
hxfcx,"[4, 4]",0.1,0.01,s,mse,1,280,0.46747876207033795
btfcx,"[4, 4]",0.1,0.01,s,mse,1,388,0.7006563146909078
diadi,"[4, 4]",0.1,0.01,s,mse,1,338,0.24792701999346414
allox,"[4, 4]",0.1,0.01,s,mse,1,360,0.4031059344609578
diato,"[4, 4]",0.1,0.01,s,mse,1,362,0.3629022240638733
zeaxa,"[4, 4]",0.1,0.01,s,mse,1,512,0.6154297788937887
betac,"[4, 4]",0.1,0.01,s,mse,1,350,0.26277562975883484
perid,"[4, 4]",0.1,0.01,s,mse,1,370,0.24580397208531699
