,dims,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 4, 2]",1,0.1,0.01,l,mse,283,0.27581260601679486
chl_a,"[4, 4, 2]",1,0.1,0.01,l,mse,366,0.155511736869812
chl_b,"[4, 4, 2]",1,0.1,0.01,l,mse,305,0.2741061846415202
chc12,"[4, 4, 2]",1,0.1,0.01,l,mse,345,0.1658958892027537
fucox,"[4, 4, 2]",1,0.1,0.01,l,mse,346,0.17582563062508902
hxfcx,"[4, 2]",1,0.1,0.01,m,mse,288,0.30969448884328205
btfcx,"[4, 2]",1,0.1,0.01,m,mse,371,0.5907429854075114
diadi,"[4, 4, 2]",1,0.1,0.01,l,mse,392,0.1676778495311737
allox,"[4, 2]",1,0.1,0.01,m,mse,296,0.3362725079059601
diato,"[4, 4, 2]",1,0.1,0.01,l,mse,378,0.28236143787701923
zeaxa,"[4, 2]",1,0.1,0.01,m,mse,174,0.5516541004180908
betac,"[4, 4, 2]",1,0.1,0.01,l,mse,326,0.17358041306336722
perid,"[4, 4, 2]",1,0.1,0.01,l,mse,426,0.18050935367743173
