,dims,kernel_sizes,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,469,0.23577266931533813
chl_a,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,434,0.1574458529551824
chl_b,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,400,0.2360701064268748
chc12,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,421,0.14879625042279562
fucox,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,489,0.1532899091641108
hxfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,536,0.21049678325653076
btfcx,"[4, 4, 4, 4, 4]","[3, 5, 7, 9, 11]",1,0.0,0.01,l,mse,365,0.3697714904944102
diadi,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,532,0.13913935919602713
allox,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,460,0.25319719314575195
diato,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,463,0.21222172180811563
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,385,0.4095590015252431
betac,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,420,0.15710521737734476
perid,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,431,0.18297970294952393
