,dims,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 4, 2]",1,0.1,0.01,l,mse,298,0.2676446835199992
chl_a,"[4, 2]",1,0.1,0.01,m,mse,347,0.1368922491868337
chl_b,"[4, 4, 2]",1,0.1,0.01,l,mse,323,0.2881736358006795
chc12,"[4, 2]",1,0.1,0.01,m,mse,317,0.14836084842681885
fucox,"[4, 4, 2]",1,0.1,0.01,l,mse,353,0.17243407169977823
hxfcx,"[4, 2]",1,0.1,0.01,m,mse,252,0.2873295644919078
btfcx,"[4, 4, 2]",1,0.1,0.01,l,mse,293,0.5924731294314066
diadi,"[4, 4, 2]",1,0.1,0.01,l,mse,319,0.1702208618323008
allox,"[4, 2]",1,0.1,0.01,m,mse,309,0.32738999525705975
diato,"[4, 4, 2]",1,0.1,0.01,l,mse,306,0.2999921242396037
zeaxa,"[4, 4, 2]",1,0.1,0.01,l,mse,273,0.50480384627978
betac,"[4, 2]",1,0.1,0.01,m,mse,349,0.15043665965398154
perid,"[4, 4, 2]",1,0.1,0.01,l,mse,390,0.1847384919722875
