,dims,kernel_sizes,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,539,0.21479469537734985
chl_a,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,401,0.15879669785499573
chl_b,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,448,0.22997168699900308
chc12,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,442,0.1489635854959488
fucox,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,401,0.17855636278788248
hxfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,539,0.1890484889348348
btfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,435,0.3981558581193288
diadi,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,380,0.16191076238950095
allox,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,432,0.2573593358198802
diato,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,433,0.21398451427618662
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,475,0.3113878269990285
betac,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,323,0.18421638011932373
perid,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,460,0.18314377963542938
