,dims,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 2]",1,0.1,0.01,s,mse,290,0.31191153327624005
chl_a,"[4, 2]",1,0.1,0.01,s,mse,265,0.21866718431313834
chl_b,"[4, 2]",1,0.1,0.01,s,mse,334,0.36826903621355694
chc12,"[4, 2]",1,0.1,0.01,s,mse,272,0.21382675568262735
fucox,"[4, 2]",1,0.1,0.01,s,mse,280,0.2267408718665441
hxfcx,"[8, 4, 2]",1,0.1,0.01,m,mse,383,0.4072473347187042
btfcx,"[8, 4, 2]",1,0.1,0.01,m,mse,333,0.5934283137321472
diadi,"[4, 2]",1,0.1,0.01,s,mse,268,0.25168246527512866
allox,"[4, 2]",1,0.1,0.01,s,mse,334,0.40304497877756756
diato,"[4, 2]",1,0.1,0.01,s,mse,297,0.3640623986721039
zeaxa,"[4, 2]",1,0.1,0.01,s,mse,562,0.6235107779502869
betac,"[4, 2]",1,0.1,0.01,s,mse,277,0.23023969928423563
perid,"[4, 2]",1,0.1,0.01,s,mse,263,0.2892184952894847
