,chlide,chla,chlb,chlc12,fuco,hex,but,diad,allo,diato,zea,caro,peri
412,0.0708659810646038,0.10106666715416525,0.1394794155910079,0.09709178170721446,0.09136012723735933,0.14311342603260918,0.24672815965355507,0.0880540545414468,0.1326829618441739,0.12583524600735732,0.21645851200446486,0.11079208426443594,0.12398722268907088
442,0.33669723766589804,0.2998669991668846,0.3002858499863318,0.3299242623948625,0.36011781809585436,0.24927497788199357,0.51505724247545,0.23548999867801154,0.41460388087268385,0.28109304713351385,0.2891226243892951,0.2972934317908117,0.149403174141688
490,0.31744741714958635,0.3004130329936743,0.27063974884471725,0.2909603284372549,0.2922021754285587,0.23633243258518633,0.5705054626118259,0.20801225331212794,0.29927441517689396,0.3115780183912388,0.3609893717470446,0.34466303046792746,0.11394269913268674
560,0.5341567613982728,0.5197823078820615,0.4529368013941816,0.5975689105024296,0.6040653152657407,0.5271604293957353,0.9679334163665771,0.4603332813296999,0.72652175703219,0.6285155174388949,0.20584710165193038,0.4795658111771835,0.32307148358917664
673,0.24814755922956724,0.30823786814497517,0.3689549254652645,0.25694826232003315,0.2690491324589987,0.26840772291013437,0.4756527555374695,0.38431947372321573,0.21868256718984672,0.24580172239802778,0.4479406351955341,0.3226046516293926,0.45508335889982326
