,chlid,chl_a,chl_b,chc12,fucox,hxfcx,btfcx,diadi,allox,diato,zeaxa,betac,perid
MSE,0.03831460233448068,0.008735958539235023,0.028737778437147893,0.010801958250342712,0.031550834721825474,0.018015884920640494,0.021080858368778998,0.013267336682444675,0.05408723845338647,0.022099999850880226,0.017457642797631,0.012929785736262474,0.02666678913142513
R2,0.9240787768053967,0.9681741156989595,0.9068617356128879,0.971116203322165,0.9527937998823797,0.9091189700852393,0.8263171711397286,0.9574873837655358,0.8802591104314053,0.9260394549589718,0.8355830879369686,0.9511068717500492,0.9389596931362066
MAPE,0.31869137803655956,0.15457131190892218,0.2907385942748176,0.1778561249037601,0.3116643035434165,0.2296038914489495,0.24278566347853736,0.20596846971095517,0.42971358804093124,0.2831855178295557,0.2393516139052413,0.1962530098176922,0.31097091403861665
MAE,0.052498040626347546,0.13307463071359193,0.013458564525154556,0.029434865887768717,0.09822080958652891,0.028844909080965504,0.004391766883905052,0.05251140780935621,0.009776222758841624,0.006241863201743666,0.009203074675054308,0.011147563960875866,0.009405363046686361
MPE,0.09386793555763301,0.0276519001273792,0.057731155713545396,0.0374182569135107,0.08984791750377648,0.019223322573153182,0.027579063286015736,0.041752529982864536,0.14622953514113138,0.06012345522596706,0.04149126532643003,0.037965763042448954,0.07804216414520873
ME,-0.014053945443960023,-0.033040157484939915,-0.006971177561732991,-0.005403311923201303,-0.004069670859693447,-0.01463212007659256,-0.002549547915006424,-0.02713032025692568,-0.005289164505392953,-0.0028704936222285976,-0.004246043035809402,-0.005319168439352779,-0.00462615333486135
