,dims,kernel_sizes,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,459,0.21731005609035492
chl_a,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,456,0.13139543185631433
chl_b,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,491,0.21278943121433258
chc12,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,446,0.12804734955231348
fucox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,440,0.15175534784793854
hxfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,493,0.21397326389948526
btfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,494,0.37989752491315204
diadi,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,530,0.13682387272516885
allox,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,472,0.2636404534180959
diato,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,588,0.18872876465320587
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,482,0.34253208835919696
betac,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,415,0.15929001569747925
perid,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,449,0.16816940903663635
