,chlide,chla,chlb,chlc12,fuco,hex,but,diad,allo,diato,zea,caro,peri
412,0.052919760026270524,0.11820322394903217,0.1390720474799829,0.1003151144250296,0.0915767561278439,0.21568229515105486,0.26010198110348676,0.09870038078432637,0.14430410052383585,0.17247993012175097,0.2168101467957188,0.13301547084535872,0.17083374671970628
442,0.21535460082148866,0.28665272573873934,0.2583701993072672,0.287504813367767,0.2913204797410539,0.2288709459493735,0.46779183245130945,0.1818503663775378,0.3715353252233139,0.24565469486904995,0.20924672866905375,0.27752153151335995,0.1201360146681379
490,0.23357029680794636,0.2394461494737438,0.17330093246086367,0.2212865131774119,0.24240711903465645,0.19974403486620368,0.5256478455848992,0.20303852811256157,0.3671524564602545,0.3524315725704322,0.3501096995813506,0.30735614077587214,0.08897065538115255
560,0.39924236945807934,0.5231229878762471,0.40899266369108644,0.5047161512609039,0.5332760156930557,0.61443113981347,0.6398064795648679,0.45519979683948414,0.5764825365705681,0.5634444845906857,0.2711940522837852,0.419461375501539,0.4561116816870968
673,0.3502856640677367,0.3418867862118142,0.3348000340961984,0.3179899802489672,0.3143646964537246,0.2783352898965989,0.4318247115505593,0.3442714177404663,0.3497519672715238,0.3073094469561641,0.3018536213452795,0.38243200683168005,0.3085387313206281
