,dims,kernel_sizes,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,427,0.20957917968432108
chl_a,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,433,0.1554581274588903
chl_b,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,442,0.2313130001227061
chc12,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,481,0.1446958730618159
fucox,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,463,0.15703689058621725
hxfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,514,0.21625804404417673
btfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,475,0.34865444898605347
diadi,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,455,0.15834003686904907
allox,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,474,0.24506811300913492
diato,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,458,0.19977936645348868
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,514,0.3045368492603302
betac,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,379,0.1696788320938746
perid,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,443,0.1719663143157959
