,dims,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 2]",1,0.1,0.01,s,mse,322,0.29078637560208637
chl_a,"[4, 2]",1,0.1,0.01,s,mse,287,0.22813328603903452
chl_b,"[4, 2]",1,0.1,0.01,s,mse,415,0.3442866802215576
chc12,"[4, 2]",1,0.1,0.01,s,mse,294,0.22031991680463156
fucox,"[4, 2]",1,0.1,0.01,s,mse,279,0.23207112650076547
hxfcx,"[8, 4, 2]",1,0.1,0.01,m,mse,430,0.4313151439030965
btfcx,"[8, 4, 2]",1,0.1,0.01,m,mse,320,0.5732454657554626
diadi,"[4, 2]",1,0.1,0.01,s,mse,281,0.26600708564122516
allox,"[4, 2]",1,0.1,0.01,s,mse,394,0.39820191264152527
diato,"[4, 2]",1,0.1,0.01,s,mse,308,0.3747573296229045
zeaxa,"[8, 4, 2]",1,0.1,0.01,m,mse,328,0.5741435090700785
betac,"[4, 2]",1,0.1,0.01,s,mse,287,0.24521510303020477
perid,"[4, 2]",1,0.1,0.01,s,mse,297,0.2714070479075114
