,chlid,chl_a,chl_b,chc12,fucox,hxfcx,btfcx,diadi,allox,diato,zeaxa,betac,perid
MSE,0.08558445951271552,0.027496424941099756,0.07937506663172796,0.0319322424627304,0.08244672667806617,0.03375004382971141,0.08460241348552498,0.027702356164218483,0.13860340431690021,0.06502057326744376,0.04822792901807848,0.029123795241049116,0.05878466630100005
R2,0.9271737820029802,0.9570346478295404,0.8852157945314616,0.9627887103316772,0.9464716192357493,0.9271763680458848,0.7287170066829668,0.9625546348268832,0.8725245286412737,0.9080055009852688,0.7977790301920067,0.9542605528360557,0.9405856019413401
MAPE,0.31138630885064283,0.19253838669957082,0.3321512871107374,0.2160595841880396,0.34616341951131985,0.21035341692101572,0.31661449544084364,0.19670572144991677,0.44388531710376355,0.3039287498538129,0.26297042265765663,0.20456781812543084,0.29682863624875405
MAE,0.04312514542326267,0.12805732178033954,0.011414860069845194,0.024958343516697398,0.05917071673052001,0.023840344661939194,0.0055732550540053515,0.027097730436344006,0.007708568594552022,0.006030583544490892,0.008773138684500198,0.006074955038511752,0.006399871971250628
MPE,0.10253916139116424,0.034452603568381104,0.08153732926642529,0.03853532991122513,0.1162425837875455,0.03439585738684163,0.08867099861600507,0.03266318901255934,0.16354362580889698,0.07673683619734502,0.05487230734895284,0.03646257314862121,0.06913505654367064
ME,-0.038443311806607344,-0.07719834362076364,-0.007402747220567439,-0.01875271735653378,-0.05002198332211946,-0.011276666856004766,-0.003259122772209627,-0.019671605957513622,-0.005706543872400348,-0.003763276418019073,-0.004122103172939789,-0.004064044558267873,-0.004607333385951831
