,chlide,chla,chlb,chlc12,fuco,hex,but,diad,allo,diato,zea,caro,peri
400,0.05592692017255883,0.11587644410454752,0.18744128330477647,0.1033395641383582,0.08850585808977485,0.09280147856251071,0.2715166875693415,0.06228693565520059,0.1618947096368564,0.1127774253421064,0.19460935731019294,0.13065425991745933,0.08308413451803583
412,0.10126646747812629,0.10362394342415168,0.12060297942454261,0.11270806419530086,0.10236882432530235,0.13929623349966797,0.16314271419209295,0.1052810397169586,0.11019171095852341,0.09970046860481878,0.08158404324266096,0.10823320747087044,0.09622766276671817
442,0.2500525363055723,0.26777453525989714,0.2740950653096661,0.2850132355067347,0.2763635474257171,0.20557407239019604,0.4645184731343761,0.1878098156469475,0.33291421960374074,0.24261003533112152,0.20991441657367563,0.27614404091478456,0.11039331470341754
490,0.16159410615052497,0.19688487950978534,0.19383749121334404,0.1906749026217897,0.20239333439219212,0.19642239456464136,0.4909882613324693,0.11651146352025014,0.2670912412660463,0.18382416532507964,0.23207014885494054,0.18697626067192427,0.05547286794753908
510,0.05640725024776267,0.058771742008892555,0.08547050040215254,0.056317926051893404,0.05169386267828356,0.10770010406018368,0.21624354110099375,0.060494136672267426,0.1208774018118025,0.08787922063908939,0.11137548428294915,0.058663596345078464,0.07909117745501655
560,0.22172910646518826,0.24796708540192672,0.2606734538317791,0.2574205984107851,0.2742516298395848,0.3306588295714131,0.4137224948499352,0.2479950602698539,0.2625703432900731,0.29577064693772365,0.23668138213854814,0.2156641436740756,0.2397819174844439
620,0.218094049553786,0.28059917892928105,0.18506003347491579,0.2856878779894032,0.2825678789522499,0.35755548839058193,0.8739803972254906,0.20451697410161224,0.4356517337728292,0.383226469525003,0.376497412963155,0.28233594952949453,0.05545310171354296
665,0.11078145390742325,0.08654423843004874,0.0893261129302638,0.09287997757616852,0.0969492893865598,0.11174043703691236,0.24963391053773062,0.0636950851351555,0.16377609830981651,0.09406504319382034,0.1381709442606994,0.0760319079272449,0.06605365579681736
673,0.1522008479473048,0.12941840362535523,0.16848616316565312,0.11383300081693701,0.1227363289466926,0.1226240076690114,0.4033974539488554,0.12031579985549408,0.1477324610127003,0.09108873841718637,0.10742793577290806,0.1265444460753185,0.15111690500218952
681,0.15531165472930297,0.21225543759231055,0.33467820898762773,0.1948458954824933,0.1965629325381347,0.10061640698196632,0.26170377493170754,0.18626676466582076,0.10290481366350182,0.10703744992081608,0.15473065106198192,0.200750105897896,0.23228722059034876
708,0.13542114743696793,0.14947370110478783,0.14793382656145176,0.1513726349429427,0.1626492447352835,0.12655268074013293,0.48790114160094944,0.056964068956274004,0.3028192496858537,0.13678649961782088,0.18291932512407325,0.12297432483839137,0.07897598908415862
