,chlid,chl_a,chl_b,chc12,fucox,hxfcx,btfcx,diadi,allox,diato,zeaxa,betac,perid
MSE,0.022875446155600575,0.007650206512419228,0.016904019013650847,0.009257803957214731,0.015431513205986238,0.010115254475963968,0.009770563818081654,0.008482819034338864,0.029174210688067456,0.014236510848318324,0.010380567062078702,0.009029100510459517,0.013913893182992567
R2,0.9805346410085193,0.9880459435113135,0.9755551147980845,0.9892116933176072,0.9899811193489341,0.9781739670384861,0.9686700687396135,0.9885337458461904,0.9731680742092226,0.9798574417696715,0.956474010367238,0.9858196343464875,0.9859370539948794
MAPE,0.16601666035846105,0.1023063964638277,0.15031003544556218,0.11538938515267189,0.15352616395467647,0.11344864818223137,0.10838164496629751,0.10856036430496736,0.19027301735903912,0.13500372909219963,0.11435141409252098,0.11373142314044972,0.1409223902285707
MAE,0.03469704056583391,0.07914037642181303,0.0055644003761825475,0.021102219633932714,0.05119045532200795,0.015676463817082775,0.0023617107288900078,0.027930733311768548,0.00538958106011176,0.003841837494959164,0.004314828520559581,0.006044860040366555,0.0038145700918243617
MPE,0.04424124209602342,0.01771799719780895,0.01099872950797775,0.012769186672031092,0.021014328902628478,0.007389360459403482,-0.0023755520682442323,0.014336737793900121,0.032041216476936404,0.017138432322089107,0.006207896656193586,0.012403013329178914,0.022614177565799115
ME,-0.032082282533268815,-0.04469866109237552,-0.0032908545592431984,-0.017202619176719603,-0.045129032749139306,-0.0069080989387631415,-0.0014419373453707451,-0.01915738176277868,-0.004105261699026035,-0.002405327065074281,-0.001841013524389951,-0.003984035239583652,-0.0026683916094795974
