,chlid,chl_a,chl_b,chc12,fucox,hxfcx,btfcx,diadi,allox,diato,zeaxa,perid
MSE,0.15026222508634693,0.035684128100671106,0.08152349323166341,0.049255341555367455,0.08604575382777416,0.10514559395537308,0.10400158228052049,0.06820325708104902,0.13673103020043167,0.10168187774605042,0.11914254355285235,0.10132634780389915
R2,0.6397479165787934,0.8499969214087637,0.695629955547055,0.8475349645134669,0.83923572572456,0.43740149998922506,0.4709036778056084,0.7659968679440949,0.6869492903653576,0.5843105880882158,0.3956710015072483,0.7105707853327171
MAPE,0.8762332671869143,0.36315708835292004,0.6200941214092555,0.4414882393404145,0.6201220730363635,0.7231443675029766,0.6906973547058066,0.5538459290283397,0.8639565371135266,0.6424349433731473,0.7805382286363098,0.6575875641435193
MAE,0.057524559157227484,0.4186131097353097,0.05127637764627392,0.06322753739799596,0.19890390247349188,0.036755516570141235,0.014311123716892242,0.04157817233651995,0.03292423411909947,0.00856899991699498,0.05620775816223172,0.026972958716515654
MPE,0.45534555823181233,0.11016360510440673,0.2686912950734319,0.14615470299710429,0.2571067518697322,0.33445477910604543,0.29368250768750687,0.21349675557762818,0.4551261115998722,0.27536654097390495,0.3791310585392484,0.28910265148658343
ME,-0.03619277342373607,-0.1480747439081365,-0.023211672389144757,-0.026322042863601517,-0.09427892772514472,-0.021807107885454743,-0.00861430542323591,-0.0191962709112625,-0.017773617485526725,-0.004964177667784472,-0.02922993725083619,-0.015598045731956207
