,dims,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4]",0.1,0.01,s,mse,1,324,0.3291682501633962
chl_a,"[4, 4]",0.1,0.01,s,mse,1,390,0.214061309893926
chl_b,"[4, 4]",0.1,0.01,s,mse,1,389,0.34110231200853985
chc12,"[4, 4]",0.1,0.01,s,mse,1,320,0.21700345973173776
fucox,"[4, 4]",0.1,0.01,s,mse,1,352,0.224082479874293
hxfcx,"[4, 4]",0.1,0.01,s,mse,1,284,0.44432066877683
btfcx,"[4, 4]",0.1,0.01,s,mse,1,397,0.6672154068946838
diadi,"[4, 4]",0.1,0.01,s,mse,1,343,0.24469458560148874
allox,"[4, 4]",0.1,0.01,s,mse,1,336,0.3705933690071106
diato,"[4, 4]",0.1,0.01,s,mse,1,373,0.3485817611217499
zeaxa,"[4, 4]",0.1,0.01,s,mse,1,393,0.6439641714096069
betac,"[4, 4]",0.1,0.01,s,mse,1,352,0.25192926327387494
perid,"[4, 4]",0.1,0.01,s,mse,1,344,0.26458338896433514
