,dims,kernel_sizes,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,368,0.2442981998125712
chl_a,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,488,0.13613228996594748
chl_b,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,487,0.22392934064070383
chc12,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,451,0.13299952447414398
fucox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,437,0.15054501593112946
hxfcx,"[4, 4, 4, 4, 4]","[3, 5, 7, 9, 11]",0.0,0.01,l,mse,1,460,0.22395595411459604
btfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,611,0.40502755840619403
diadi,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,467,0.14616347352663675
allox,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,495,0.23955592513084412
diato,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,520,0.2077325979868571
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,512,0.36961811780929565
betac,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,492,0.13823350767294565
perid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,474,0.1669458399216334
