,dims,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 2]",0.1,0.01,m,mse,1,216,0.29297298192977905
chl_a,"[4, 2]",0.1,0.01,m,mse,1,263,0.18421351412932077
chl_b,[2],0.1,0.01,s,mse,1,763,0.3118187487125397
chc12,"[4, 2]",0.1,0.01,m,mse,1,263,0.1831243485212326
fucox,[2],0.1,0.01,s,mse,1,520,0.20365379254023233
hxfcx,"[4, 2]",0.1,0.01,m,mse,1,291,0.3643815716107686
btfcx,"[4, 4, 2]",0.1,0.01,l,mse,1,370,0.6506571769714355
diadi,"[4, 2]",0.1,0.01,m,mse,1,355,0.17639718453089395
allox,[2],0.1,0.01,s,mse,1,570,0.3395586411158244
diato,"[4, 2]",0.1,0.01,m,mse,1,369,0.3028104305267334
zeaxa,"[4, 4, 2]",0.1,0.01,l,mse,1,282,0.5870421727498373
betac,"[4, 2]",0.1,0.01,m,mse,1,271,0.20306610067685446
perid,"[4, 2]",0.1,0.01,m,mse,1,320,0.19316744804382324
